,zipcode,city,latitude,longitude
381,12526,Berlin Treptow-Köpenick,52.445817,13.574588
382,12527,Berlin Treptow-Köpenick,52.445817,13.574588
383,12489,Berlin Treptow-Köpenick,52.445817,13.574588
384,12459,Berlin Treptow-Köpenick,52.445817,13.574588
385,12555,Berlin Treptow-Köpenick,52.445817,13.574588
386,12557,Berlin Treptow-Köpenick,52.445817,13.574588
387,12559,Berlin Treptow-Köpenick,52.445817,13.574588
388,12587,Berlin Treptow-Köpenick,52.445817,13.574588
389,12589,Berlin Treptow-Köpenick,52.445817,13.574588
390,65385,Rüdesheim am Rhein,49.9833,7.91667
391,39249,Gnadau,51.97592,11.78002
392,17209,Sietow Sietow,53.4449393888079,12.5571239471435
393,16818,Temnitzquell Netzeband bei Neuruppin,52.99633,12.63264
394,66879,Kollweiler,49.5167,7.58333
395,83329,Wonneberg Enzersdorf bei Waging am See,47.9087,12.7362
396,8626,Mühlental,50.4519,12.4815
397,8606,Mühlental,50.4519,12.4815
398,72479,Straßberg (Hohenzollern),48.1761,9.0904
399,71706,Markgröningen,48.9,9.06667
400,55457,Gensingen,49.9,7.93333
401,53567,Buchholz (Westerwald),50.6833,7.38333
402,16928,Pritzwalk,53.15046,12.17707
403,94262,Kollnburg,49.05,12.8667
404,37194,"Wahlsburg, Weser",51.62329,9.55781999999999
405,25335,Elmshorn,53.7552973008561,9.65623957259651
406,25336,Elmshorn,53.7552973008561,9.65623957259651
407,25337,Elmshorn,53.7552973008561,9.65623957259651
408,97502,Euerbach,50.0667,10.1333
409,54456,Onsdorf,49.65,6.48333
410,84371,Triftern,48.4,13.0167
411,65205,Wiesbaden Erbenheim,50.0833,8.25
412,8352,Raschau-Markersbach,50.532222,12.871389
413,59889,Eslohe (Sauerland),51.25405,8.17076999999995
414,84160,Frontenhausen,48.544375,12.528772
415,89197,Weidenstetten,48.55,10.0
416,3172,Guben,51.95079,14.70258
417,29614,Soltau,52.98414,9.84249
418,16767,Leegebruch,52.72349,13.1947700000001
419,14797,Kloster Lehnin Netzen,52.3423,12.68296
420,54293,Trier Ehrang,49.75,6.63333
421,15236,Zeschdorf,52.4213,14.3875
422,15326,Zeschdorf,52.4213,14.3875
423,17192,Groß Dratow Klein Dratow,53.5056752356192,12.8741554077149
424,55234,Bechenheim,49.7286,8.00333
425,67746,Unterjeckenbach,49.6667,7.48333
426,25709,"Marne, Holstein",53.9511274906169,9.00880578749451
427,19348,Perleberg Quitzow,53.10143,11.81946
428,91361,Pinzberg,49.7,11.1
429,37318,Schachtebich,51.40125,10.05057
430,14513,Teltow,52.39584,13.27631
431,58452,Witten Herbede,51.4181009105116,7.28084453399651
432,58456,Witten Herbede,51.4181009105116,7.28084453399651
433,7751,Löberschütz,50.9667,11.7
434,24217,Wisch bei Kiel,54.4089926501879,10.3452036738397
435,74245,Löwenstein (Württemberg),49.0994,9.38139
436,99947,Issersheilingen,51.2,10.65
437,6712,Kretzschau,51.05,12.0667
438,66879,Steinwenden,49.45,7.53333
439,9619,Dorfchemnitz bei Sayda Wolfsgrund,50.7742994449119,13.4158393859864
440,67742,Herren-Sulzbach,49.65,7.53333
441,4720,Döbeln,51.1167,13.1167
442,55469,Budenbach,50.0333,7.56667
443,21529,Kröppelshagen-Fahrendorf,53.48588,10.3156
444,82327,Tutzing,47.9167,11.2833
445,98646,Straufhain,50.3583,10.7042
446,19205,Mühlen Eichsen,53.75891,11.25135
447,99610,Sprötau,51.1167,11.2
448,89195,Staig (Weihung),48.3,9.98333
449,6317,Röblingen am See,51.4610977134863,11.6697469894409
450,96170,Priesendorf,49.9,10.7167
451,83059,Kolbermoor,47.85,12.0667
452,79276,Reute (Breisgau),48.0833,7.81667
453,74182,Obersulm,49.133,9.383
454,56858,Liesenich,50.0833,7.28333
455,25836,Poppenbüll,54.36090446984,8.76124655051221
456,25355,Heede bei Barmstedt,53.783780787891,9.80737869782444
457,91614,Mönchsroth,49.0167,10.3667
458,55422,Bacharach,50.0667,7.76667
459,54317,Lorscheid bei Trier,49.7333,6.85
460,7806,Weira,50.7,11.7167
461,19294,Neu Kaliß Heiddorf,53.18591,11.29675
462,57520,Dickendorf,50.7333,7.85
463,17406,Rankwitz Quilitz,53.95668,13.91926
464,22946,Brunsbek,53.59509,10.26694
465,14715,Kotzen,52.63996,12.51552
466,25560,Kaisborstel,54.013794,9.481068
467,86836,Untermeitingen,48.1667,10.8
468,54668,"Alsdorf, Eifel",49.8833,6.46667
469,6922,Prettin,51.66362,12.9254
470,16230,Melchow,52.77591,13.70492
471,6528,Hainrode bei Sangerhausen,51.5004541600458,11.1686311904907
472,7778,Lehesten bei Jena,50.9833,11.5833
473,99759,Rehungen,51.3820143603973,10.5235664550783
474,25746,Ostrohe,54.214810444152,9.137088806873
475,37581,Bad Gandersheim,51.870662,10.024588
476,18059,Pölchow,54.01024,12.09624
477,39249,Tornitz bei Schönebeck,51.9303301,11.84795
478,34326,Morschen,51.05,9.6
479,16775,Gransee,53.00562,13.15121
480,21514,"Siebeneichen, Kreis Herzogtum Lauenburg",53.51139,10.61771
481,32257,Bünde,52.19851,8.58329000000003
482,21640,Bliedersdorf,53.48135,9.56988
483,36251,"Ludwigsau, Hessen",50.9,9.76667
484,92521,"Schwarzenfeld, Oberpfalz",49.3894,12.1397
485,15306,Vierlinden,52.5150783488059,14.3140141693116
486,95326,Kulmbach,50.1,11.45
487,86853,Langerringen,48.15,10.7667
488,83115,Neubeuern,47.7667,12.15
489,82229,"Seefeld, Oberbayern",48.0333,11.2
490,16775,Stechlin Neuglobsow,53.14365,13.04795
491,69254,Malsch bei Wiesloch,49.2472,8.68278
492,59969,Bromskirchen,51.0833,8.61667
493,26919,Brake (Unterweser),53.32658,8.47806000000003
494,56290,Dommershausen,50.15,7.4
495,75387,Neubulach,48.65,8.7
496,79249,Merzhausen (Breisgau),47.9667,7.83333
497,66871,Theisbergstegen,49.5167,7.45
498,26169,Friesoythe,53.02458,7.85832000000005
499,16248,Liepe bei Eberswalde,52.86227,13.96986
500,18519,Horst bei Grimmen Segebadenhau,54.14129,13.19523
501,50321,"Brühl, Rheinland",50.8333,6.9
502,8326,Sosa,50.5,12.6667
503,86465,Welden bei Augsburg,48.45,10.6667
504,18519,Reinberg bei Grimmen Stahlbrode,54.23386,13.28514
505,54470,Brauneberg Hirzlei,49.9167,6.98333
506,18528,Thesenvitz,54.4501,13.38948
507,56291,Thörlingen,50.1333,7.53333
508,24235,Stein bei Laboe,54.4147079747742,10.2691422611476
509,56283,Morshausen,50.2,7.43333
510,31604,Raddestorf,52.4552,8.96346
511,86489,Deisenhausen,48.25,10.3333
512,23898,Lüchow bei Sandesneben,53.6908,10.52954
513,96237,Ebersdorf bei Coburg,50.23,11.08
514,67699,Schneckenhausen,49.5333,7.75
515,46325,"Borken, Westfalen",51.848372553829,6.85974260314947
516,19336,Legde / Quitzöbel Quitzöbel,52.8913,11.9831
517,84130,Dingolfing,48.6333,12.5
518,2708,Großschweidnitz,51.07387,14.6481699999999
519,55606,Kellenbach,49.85,7.48333
